Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Namibia,Gross Domestic Product (GDP) per Capita in US$,,"2,149","1,911","1,780","2,575","3,407","3,689","4,019","4,340","4,168","4,268","5,368","5,789","6,017","5,463","5,544","4,966","4,615","5,450","5,687","5,108","4,266",
Namibia,Population (in thousands),,"1,819","1,856","1,889","1,915","1,939","1,963","1,987","2,011","2,039","2,068","2,099","2,132","2,167","2,205","2,243","2,283","2,323","2,365","2,406","2,447","2,489",
Niger,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,6,6,5,5,5,5,5,4,4,4,5,5,6,5,6,6,
Niger,Current Health Expenditure (CHE) per Capita in US$,,9,10,11,12,14,19,20,21,25,24,23,25,23,24,25,26,22,29,30,31,35,
Niger,Current Health Expenditure (CHE),in million current US$,104,115,134,161,187,257,284,310,382,391,389,427,405,456,482,518,469,624,679,732,852,
Niger,Gross Domestic Product (GDP) per Capita in US$,,192,203,223,262,280,315,330,384,471,457,470,507,524,547,559,481,495,515,569,551,565,
Niger,Population (in thousands),,"11,623","12,031","12,457","12,901","13,367","13,855","14,365","14,898","15,455","16,038","16,648","17,283","17,954","18,653","19,372","20,128","20,922","21,738","22,577","23,443","24,334",
Nigeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,2,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,
Nigeria,Current Health Expenditure (CHE) per Capita in US$,,18,18,18,39,44,54,66,69,80,68,76,83,91,101,106,96,78,73,66,70,70,
Nigeria,Current Health Expenditure (CHE),in million current US$,"2,169","2,332","2,341","5,202","6,040","7,576","9,486","10,255","12,206","10,650","12,166","13,751","15,487","17,615","19,036","17,716","14,761","14,082","13,035","14,167","14,533",
Nigeria,Gross Domestic Product (GDP) per Capita in US$,,552,580,725,773,953,"1,208","1,544","1,769","2,167","1,900","2,293","2,503","2,710","2,947","3,169","2,688","2,145","1,942","2,126","2,334","2,064",
Nigeria,Population (in thousands),,"122,852","126,153","129,583","133,120","136,757","140,491","144,330","148,294","152,383","156,596","160,953","165,464","170,076","174,726","179,379","183,996","188,667","193,496","198,388","203,304","208,327",
Rwanda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,3,3,7,8,8,8,8,8,8,8,8,8,7,7,7,7,6,7,6,7,
Rwanda,Current Health Expenditure (CHE) per Capita in US$,,9,8,7,17,20,25,27,34,40,44,48,52,57,48,51,49,51,48,52,51,57,
Rwanda,Current Health Expenditure (CHE),in million current US$,74,65,62,148,178,227,253,320,392,443,495,546,620,530,576,568,605,591,646,656,756,
Rwanda,Gross Domestic Product (GDP) per Capita in US$,,255,239,235,249,270,325,358,427,529,565,594,651,706,704,724,733,728,757,769,807,786,
Rwanda,Population (in thousands),,"8,110","8,224","8,372","8,568","8,792","9,026","9,270","9,523","9,782","10,044","10,309","10,577","10,840","11,101","11,368","11,643","11,931","12,230","12,532","12,835","13,146",
Sao Tome and Principe,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,11,11,11,13,12,12,8,8,7,7,7,7,6,8,7,5,6,6,6,5,5,
Sao Tome and Principe,Current Health Expenditure (CHE) per Capita in US$,,56,53,57,78,79,89,67,70,77,76,74,85,86,124,119,85,109,116,115,105,107,
Sao Tome and Principe,Current Health Expenditure (CHE),in million current US$,8,8,9,12,12,14,11,12,13,14,14,16,16,24,23,17,22,24,24,23,23,
Sao Tome and Principe,Gross Domestic Product (GDP) per Capita in US$,,534,489,533,621,663,774,805,852,"1,081","1,054","1,084","1,254","1,330","1,563","1,767","1,583","1,698","1,803","1,965","2,007","2,179",
Sao Tome and Principe,Population (in thousands),,144,146,150,154,158,162,166,170,174,178,182,186,190,194,197,201,205,208,211,215,219,
Senegal,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,
Senegal,Current Health Expenditure (CHE) per Capita in US$,,22,24,27,36,43,37,39,41,50,51,52,58,57,61,62,54,55,58,66,66,77,
Senegal,Current Health Expenditure (CHE),in million current US$,213,240,277,377,460,405,440,478,591,620,649,751,754,830,869,778,810,874,"1,024","1,052","1,262",
Senegal,Gross Domestic Product (GDP) per Capita in US$,,620,655,688,840,942,"1,003","1,039","1,210","1,420","1,324","1,287","1,384","1,335","1,392","1,417","1,238","1,291","1,385","1,484","1,463","1,491",
Senegal,Population (in thousands),,"9,704","9,938","10,181","10,435","10,699","10,974","11,263","11,564","11,873","12,195","12,530","12,876","13,232","13,596","13,970","14,356","14,751","15,158","15,575","16,001","16,436",
Seychelles,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,4,4,4,5,5,6,5,5,4,5,5,5,5,6,
Seychelles,Current Health Expenditure (CHE) per Capita in US$,,354,413,386,452,515,533,546,479,430,362,507,521,637,619,649,637,736,737,792,787,727,
Seychelles,Current Health Expenditure (CHE),in million current US$,28,34,32,38,44,46,48,42,39,33,47,49,61,60,64,63,74,75,82,82,77,
Seychelles,Gross Domestic Product (GDP) per Capita in US$,,"7,680","7,658","8,461","8,442","9,907","10,702","11,670","11,702","10,789","9,309","10,496","10,854","11,116","13,733","14,159","14,268","14,826","15,455","15,871","16,137","11,377",
Seychelles,Population (in thousands),,80,81,82,84,85,86,87,88,90,91,92,94,95,97,98,99,101,102,103,104,106,
Sierra Leone,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,12,11,11,11,11,11,10,10,10,11,11,13,11,12,20,20,17,9,8,9,9,
Sierra Leone,Current Health Expenditure (CHE) per Capita in US$,,23,25,28,28,29,32,34,36,41,44,44,59,59,82,139,119,85,46,43,45,43,
Sierra Leone,Current Health Expenditure (CHE),in million current US$,107,120,143,150,159,182,196,217,247,272,282,391,403,569,989,867,638,350,339,361,356,
Sierra Leone,Gross Domestic Product (GDP) per Capita in US$,,202,225,244,259,262,290,324,363,411,392,401,445,560,706,702,581,515,484,520,507,493,
Sierra Leone,Population (in thousands),,"4,584","4,857","5,140","5,351","5,533","5,683","5,810","5,939","6,091","6,260","6,437","6,612","6,789","6,965","7,141","7,315","7,494","7,678","7,861","8,047","8,234",
South Africa,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,
South Africa,Current Health Expenditure (CHE) per Capita in US$,,238,204,181,288,366,404,422,460,447,493,628,694,654,603,548,499,463,537,569,550,490,
South Africa,Current Health Expenditure (CHE),in million current US$,"11,134","9,647","8,620","13,872","17,749","19,823","20,895","22,999","22,598","25,224","32,528","36,401","34,770","32,468","29,983","27,903","26,143","30,404","32,642","31,976","28,792",
South Africa,Gross Domestic Product (GDP) per Capita in US$,,"3,242","2,867","2,708","4,096","5,268","5,893","6,140","6,662","6,252","6,444","8,060","8,737","8,174","7,437","6,960","6,201","5,735","6,729","7,060","6,678","5,705",
South Africa,Population (in thousands),,"46,813","47,230","47,662","48,104","48,556","49,017","49,492","49,996","50,566","51,171","51,785","52,443","53,145","53,874","54,730","55,877","56,422","56,641","57,340","58,087","58,802",
South Sudan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,8,6,5,5,
South Sudan,Current Health Expenditure (CHE) per Capita in US$,,,,,,,,,,,,,,,,,,,27,28,24,33,
South Sudan,Current Health Expenditure (CHE),in million current US$,,,,,,,,,,,,,,,,,,288,293,248,352,
South Sudan,Gross Domestic Product (GDP) per Capita in US$,,,,,,,,,,,,,,,,,,,328,449,509,633,
South Sudan,Population (in thousands),,,,,,,,,,,,,,,,,,,"10,658","10,395","10,448","10,606",
Togo,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,7,6,6,6,6,
Togo,Current Health Expenditure (CHE) per Capita in US$,,11,11,13,15,17,18,19,23,28,29,31,35,36,41,43,37,52,52,53,49,53,
Togo,Current Health Expenditure (CHE),in million current US$,56,58,67,84,94,102,109,139,172,186,206,238,251,288,314,280,398,410,427,407,452,
Togo,Gross Domestic Product (GDP) per Capita in US$,,402,389,436,526,548,539,540,594,721,712,704,774,754,820,847,755,787,814,884,876,897,
Togo,Population (in thousands),,"5,008","5,145","5,282","5,421","5,565","5,712","5,874","6,048","6,222","6,399","6,572","6,749","6,927","7,106","7,288","7,473","7,661","7,853","8,047","8,243","8,443",
Uganda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,4,5,6,6,6,5,6,7,7,6,6,5,5,5,4,4,4,4,
Uganda,Current Health Expenditure (CHE) per Capita in US$,,16,16,16,14,19,26,32,36,40,44,52,55,55,53,51,40,39,31,33,33,34,
Uganda,Current Health Expenditure (CHE),in million current US$,394,396,402,375,505,723,910,"1,071","1,223","1,395","1,681","1,841","1,890","1,870","1,855","1,505","1,516","1,263","1,370","1,435","1,505",
Uganda,Gross Domestic Product (GDP) per Capita in US$,,323,316,330,331,396,446,489,591,735,767,763,826,903,917,956,791,789,787,821,880,856,
Uganda,Population (in thousands),,"24,021","24,763","25,545","26,355","27,146","27,947","28,773","29,630","30,510","31,413","32,342","33,296","34,273","35,274","36,337","37,477","38,748","40,127","41,515","42,949","44,405",
United Republic of Tanzania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,5,5,6,6,8,7,6,5,5,5,5,5,4,4,4,4,4,4,4,
United Republic of Tanzania,Current Health Expenditure (CHE) per Capita in US$,,12,15,17,20,23,28,35,36,36,33,37,37,42,43,39,33,36,39,41,40,39,
United Republic of Tanzania,Current Health Expenditure (CHE),in million current US$,422,534,615,756,894,"1,086","1,434","1,502","1,544","1,468","1,664","1,738","1,990","2,123","2,006","1,729","1,973","2,175","2,372","2,369","2,426",
United Republic of Tanzania,Gross Domestic Product (GDP) per Capita in US$,,359,356,361,379,406,435,465,523,648,659,706,740,830,927,983,902,915,947,981,"1,021","1,049",
United Republic of Tanzania,Population (in thousands),,"34,464","35,414","36,354","37,334","38,361","39,440","40,562","41,716","42,871","43,958","45,111","46,416","47,786","49,254","50,815","52,543","54,402","56,267","58,090","59,873","61,705",
Zambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,6,4,4,4,4,3,4,5,4,4,4,4,5,5,6,
Zambia,Current Health Expenditure (CHE) per Capita in US$,,26,26,27,33,39,49,63,49,56,51,55,57,68,86,66,58,56,66,75,67,54,
Zambia,Current Health Expenditure (CHE),in million current US$,258,268,285,352,439,572,750,612,719,679,754,812,"1,002","1,315","1,039",942,939,"1,139","1,331","1,240","1,017",
Zambia,Gross Domestic Product (GDP) per Capita in US$,,364,402,399,452,556,720,"1,066","1,134","1,394","1,151","1,469","1,644","1,730","1,841","1,725","1,308","1,250","1,496","1,475","1,268",957,
Zambia,Population (in thousands),,"9,891","10,192","10,508","10,838","11,188","11,565","11,972","12,402","12,853","13,318","13,792","14,266","14,745","15,235","15,738","16,248","16,768","17,298","17,836","18,380","18,928",
Zimbabwe,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,,,,,,,,10,8,7,7,8,7,7,6,5,4,3,
Zimbabwe,Current Health Expenditure (CHE) per Capita in US$,,,,,,,,,,,,98,87,89,100,114,105,106,92,115,55,51,
Zimbabwe,Current Health Expenditure (CHE),in million current US$,,,,,,,,,,,"1,262","1,140","1,184","1,357","1,586","1,488","1,535","1,361","1,725",842,794,
Zimbabwe,Gross Domestic Product (GDP) per Capita in US$,,,,,,,,,,,,938,"1,082","1,290","1,409","1,407","1,411","1,422","1,450","2,454","1,498","1,479",
Zimbabwe,Population (in thousands),,,,,,,,,,,,"12,840","13,026","13,265","13,555","13,856","14,155","14,453","14,751","15,052","15,355","15,670",
Antigua and Barbuda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,6,5,5,5,4,4,4,5,5,5,6,6,5,5,5,5,4,6,
Antigua and Barbuda,Current Health Expenditure (CHE) per Capita in US$,,519,571,558,612,596,639,663,712,691,607,721,714,750,735,822,785,813,785,850,802,830,
Antigua and Barbuda,Current Health Expenditure (CHE),in million current US$,39,44,43,48,47,51,54,58,58,51,62,62,66,65,73,71,74,72,78,74,77,
Antigua and Barbuda,Gross Domestic Product (GDP) per Capita in US$,,"11,009","10,501","10,550","10,968","11,650","12,808","14,312","16,004","16,456","14,529","13,402","13,119","13,687","13,351","14,004","14,862","15,863","16,112","17,527","18,318","14,789",
Antigua and Barbuda,Population (in thousands),,75,76,77,78,79,80,81,82,83,85,86,87,88,88,89,90,91,91,92,92,93,
Argentina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,7,7,7,8,8,8,8,9,9,9,10,10,10,10,9,10,9,9,10,
Argentina,Current Health Expenditure (CHE) per Capita in US$,,705,671,223,261,310,391,454,569,743,782,980,"1,203","1,362","1,415","1,281","1,525","1,149","1,526","1,122",959,864,
Argentina,Current Health Expenditure (CHE),in million current US$,"26,133","25,163","8,435","9,990","11,996","15,269","17,908","22,701","29,920","31,806","40,284","49,931","57,139","59,988","54,841","65,969","50,188","67,209","49,853","42,890","38,898",
Argentina,Gross Domestic Product (GDP) per Capita in US$,,"8,576","8,019","3,011","3,785","4,292","5,135","5,937","7,266","9,079","8,268","10,377","12,769","13,859","14,469","13,241","14,909","12,767","14,610","11,817","10,120","8,651",
Argentina,Population (in thousands),,"37,071","37,480","37,885","38,278","38,669","39,071","39,477","39,876","40,274","40,684","41,100","41,521","41,952","42,388","42,824","43,257","43,668","44,055","44,414","44,746","45,036",
Bahamas,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,5,6,7,6,6,8,
Bahamas,Current Health Expenditure (CHE) per Capita in US$,,945,990,"1,014","1,053","1,068","1,140","1,242","1,335","1,411","1,397","1,422","1,419","1,492","1,531","1,590","1,558","1,692","2,068","1,920","1,921","1,851",
Bahamas,Current Health Expenditure (CHE),in million current US$,307,326,339,357,366,397,438,477,512,514,531,536,570,591,619,612,670,825,772,777,752,
Bahamas,Gross Domestic Product (GDP) per Capita in US$,,"24,848","25,235","26,590","26,205","26,393","28,280","28,829","29,687","29,014","27,121","27,047","26,644","28,058","27,214","28,636","30,280","30,287","30,976","31,943","32,539","24,376",
Bahamas,Population (in thousands),,325,330,334,338,343,348,353,358,363,368,373,378,382,386,389,393,396,399,402,405,406,
Barbados,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,7,7,7,7,6,6,7,7,7,8,7,7,7,7,7,7,6,7,
Barbados,Current Health Expenditure (CHE) per Capita in US$,,616,636,683,802,938,959,"1,027","1,043","1,137","1,166","1,117","1,166","1,298","1,266","1,184","1,149","1,158","1,181","1,193","1,171","1,200",
Barbados,Current Health Expenditure (CHE),in million current US$,163,169,182,215,252,259,278,283,310,319,307,321,359,351,329,319,323,330,334,328,337,
Barbados,Gross Domestic Product (GDP) per Capita in US$,,"11,560","11,510","11,659","11,998","12,828","14,174","15,596","17,219","17,551","16,310","16,490","16,906","16,691","16,893","16,925","16,955","17,334","17,830","18,186","18,909","16,662",
Barbados,Population (in thousands),,265,265,266,267,269,269,270,271,273,274,275,275,276,277,277,278,279,279,280,280,281,
Belize,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,4,4,5,5,6,6,6,6,5,6,6,6,6,6,6,6,7,
Belize,Current Health Expenditure (CHE) per Capita in US$,,137,162,171,172,173,177,191,228,251,242,243,253,247,259,293,284,297,283,287,304,278,
Belize,Current Health Expenditure (CHE),in million current US$,33,40,44,45,47,49,55,68,77,76,78,83,83,89,103,102,109,106,109,118,110,
Belize,Gross Domestic Product (GDP) per Capita in US$,,"3,461","3,513","3,643","3,752","3,886","3,964","4,194","4,317","4,425","4,203","4,309","4,452","4,544","4,590","4,758","4,820","4,892","4,924","4,940","5,000","4,015",
Belize,Population (in thousands),,240,248,256,264,272,280,289,297,306,314,322,330,337,345,352,360,367,375,382,389,395,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,6,7,7,8,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) per Capita in US$,,43,45,43,46,46,52,56,63,78,89,100,119,135,159,178,195,206,213,229,239,241,
Bolivia (Plurinational State of),Current Health Expenditure (CHE),in million current US$,369,393,387,420,427,485,534,616,768,897,"1,022","1,240","1,423","1,709","1,946","2,162","2,319","2,434","2,661","2,817","2,878",
Bolivia (Plurinational State of),Gross Domestic Product (GDP) per Capita in US$,,977,931,888,892,952,"1,018","1,200","1,351","1,688","1,725","1,922","2,305","2,562","2,854","3,022","2,976","3,014","3,280","3,471","3,472","3,069",
Bolivia (Plurinational State of),Population (in thousands),,"8,593","8,746","8,901","9,057","9,216","9,377","9,543","9,711","9,881","10,051","10,223","10,396","10,570","10,743","10,917","11,090","11,263","11,436","11,607","11,777","11,936",
Brazil,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,
Brazil,Current Health Expenditure (CHE) per Capita in US$,,311,269,246,250,294,384,484,601,705,719,894,"1,028",954,978,"1,014",783,796,937,863,850,701,
Brazil,Current Health Expenditure (CHE),in million current US$,"54,629","47,877","44,336","45,714","54,379","71,646","91,374","114,589","135,860","139,941","175,496","203,751","190,719","197,247","206,220","160,564","164,647","195,441","181,433","180,107","149,389",
Brazil,Gross Domestic Product (GDP) per Capita in US$,,"3,727","3,142","2,825","3,057","3,623","4,773","5,866","7,323","8,802","8,570","11,249","13,201","12,328","12,259","12,071","8,783","8,681","9,897","9,121","8,845","6,795",
Brazil,Population (in thousands),,"175,874","178,212","180,477","182,629","184,722","186,797","188,821","190,779","192,672","194,518","196,353","198,185","199,978","201,722","203,460","205,188","206,860","208,505","210,167","211,783","213,196",
Canada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,9,9,9,9,9,9,9,10,11,11,10,11,10,10,11,11,11,11,11,13,12
Canada,Current Health Expenditure (CHE) per Capita in US$,,"2,002","2,056","2,149","2,552","2,916","3,291","3,789","4,222","4,491","4,392","5,096","5,438","5,542","5,485","5,232","4,680","4,668","4,901","5,053","5,084","5,619","6,086"
Canada,Current Health Expenditure (CHE),in million current US$,"61,418","63,734","67,324","80,701","93,062","106,030","123,253","138,743","149,192","147,549","173,082","186,646","192,248","192,318","185,235","167,225","168,587","179,141","187,127","190,755","212,912","232,214"
Canada,Gross Domestic Product (GDP) per Capita in US$,,"24,268","23,835","24,268","28,324","32,166","36,426","40,555","44,698","46,747","40,975","47,620","52,248","52,703","52,664","51,003","43,560","42,311","45,118","46,585","46,426","43,428","52,112"
Canada,Population (in thousands),,"30,683","31,003","31,322","31,619","31,912","32,216","32,532","32,862","33,219","33,594","33,963","34,324","34,692","35,064","35,405","35,732","36,114","36,554","37,035","37,523","37,889","38,155"
Chile,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,6,6,7,7,7,7,7,7,8,8,9,9,9,9,10,9
Chile,Current Health Expenditure (CHE) per Capita in US$,,357,327,323,350,427,501,572,650,727,738,871,995,"1,081","1,184","1,150","1,133","1,180","1,368","1,457","1,369","1,278","1,479"
Chile,Current Health Expenditure (CHE),in million current US$,"5,477","5,076","5,067","5,547","6,847","8,102","9,342","10,721","12,108","12,428","14,806","17,082","18,754","20,725","20,341","20,252","21,334","25,123","27,253","26,074","24,669","28,827"
Chile,Gross Domestic Product (GDP) per Capita in US$,,"5,071","4,572","4,444","4,770","6,194","7,602","9,476","10,524","10,782","10,241","12,852","14,688","15,403","15,899","14,731","13,650","13,849","15,082","15,912","14,674","13,105","16,258"
Chile,Population (in thousands),,"15,352","15,524","15,694","15,859","16,018","16,175","16,335","16,496","16,661","16,833","17,004","17,174","17,342","17,510","17,687","17,870","18,084","18,369","18,701","19,039","19,300","19,493"
Colombia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,9,
Colombia,Current Health Expenditure (CHE) per Capita in US$,,134,138,132,129,159,209,239,309,378,383,452,501,547,580,587,469,447,495,517,523,477,
Colombia,Current Health Expenditure (CHE),in million current US$,"5,266","5,499","5,331","5,310","6,630","8,835","10,239","13,383","16,570","16,991","20,264","22,712","25,022","26,814","27,385","22,080","21,300","23,948","25,484","26,225","24,308",
Colombia,Gross Domestic Product (GDP) per Capita in US$,,"2,383","2,323","2,299","2,240","2,745","3,449","3,779","4,761","5,527","5,244","6,394","7,392","8,102","8,264","8,165","6,228","5,938","6,450","6,782","6,438","5,307",
Colombia,Population (in thousands),,"39,215","39,838","40,454","41,058","41,648","42,221","42,773","43,307","43,815","44,314","44,816","45,309","45,782","46,238","46,678","47,120","47,626","48,352","49,277","50,187","50,931",
Costa Rica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,7,7,7,7,8,
Costa Rica,Current Health Expenditure (CHE) per Capita in US$,,248,255,276,287,290,310,360,424,511,530,654,742,776,817,823,875,871,854,902,915,953,
Costa Rica,Current Health Expenditure (CHE),in million current US$,986,"1,034","1,139","1,204","1,234","1,336","1,575","1,881","2,300","2,417","3,024","3,473","3,678","3,914","3,986","4,285","4,306","4,263","4,548","4,652","4,883",
Costa Rica,Gross Domestic Product (GDP) per Capita in US$,,"3,773","3,942","4,021","4,123","4,376","4,644","5,188","6,055","6,842","6,738","8,147","9,137","9,972","10,633","10,738","11,530","11,900","12,118","12,383","12,669","12,133",
Costa Rica,Population (in thousands),,"3,979","4,053","4,123","4,189","4,253","4,316","4,378","4,440","4,502","4,563","4,622","4,680","4,737","4,792","4,844","4,895","4,945","4,994","5,041","5,085","5,123",
Cuba,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,9,8,11,11,12,11,11,9,10,12,13,12,11,11,11,12,
Cuba,Current Health Expenditure (CHE) per Capita in US$,,181,199,214,228,233,332,387,570,610,676,609,696,601,711,864,985,984,980,973,"1,013","1,186",
Cuba,Current Health Expenditure (CHE),in million current US$,"2,012","2,212","2,390","2,550","2,610","3,734","4,363","6,427","6,880","7,630","6,875","7,864","6,802","8,047","9,793","11,175","11,163","11,111","11,024","11,465","13,404",
Cuba,Gross Domestic Product (GDP) per Capita in US$,,"2,752","2,844","3,007","3,206","3,403","3,792","4,684","5,200","5,392","5,502","5,698","6,152","6,467","6,814","7,118","7,690","8,056","8,543","8,832","9,139","9,500",
Cuba,Population (in thousands),,"11,106","11,139","11,170","11,199","11,225","11,246","11,261","11,270","11,277","11,283","11,290","11,299","11,309","11,322","11,332","11,340","11,342","11,336","11,328","11,317","11,301",
Dominica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,6,
Dominica,Current Health Expenditure (CHE) per Capita in US$,,260,232,227,243,254,264,271,294,336,354,370,389,409,387,395,399,421,405,485,443,427,
Dominica,Current Health Expenditure (CHE),in million current US$,18,16,16,17,17,18,19,20,23,24,25,27,28,27,27,28,30,28,34,32,31,
Dominica,Gross Domestic Product (GDP) per Capita in US$,,"4,877","4,994","4,883","5,016","5,352","5,302","5,679","6,128","6,661","7,113","7,181","7,290","7,054","7,239","7,501","7,724","8,224","7,665","7,970","8,623","7,557",
Dominica,Population (in thousands),,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,70,70,70,71,71,72,
Dominican Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,5,
Dominican Republic,Current Health Expenditure (CHE) per Capita in US$,,139,144,154,105,106,170,163,191,231,238,271,295,305,303,313,323,329,338,328,347,354,
Dominican Republic,Current Health Expenditure (CHE),in million current US$,"1,187","1,250","1,353",939,957,"1,558","1,513","1,798","2,195","2,299","2,652","2,924","3,064","3,081","3,223","3,361","3,465","3,595","3,530","3,771","3,895",
Dominican Republic,Gross Domestic Product (GDP) per Capita in US$,,"2,846","2,953","3,086","2,399","2,468","3,904","4,080","4,676","5,053","5,002","5,510","5,859","6,049","6,171","6,534","6,839","7,191","7,513","7,947","8,173","7,168",
Dominican Republic,Population (in thousands),,"8,541","8,669","8,795","8,920","9,043","9,165","9,284","9,402","9,523","9,648","9,776","9,904","10,031","10,157","10,282","10,406","10,528","10,647","10,766","10,882","11,000",
Ecuador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,5,6,6,6,5,5,6,6,6,7,7,7,7,7,7,8,8,8,
Ecuador,Current Health Expenditure (CHE) per Capita in US$,,48,71,98,133,150,169,191,191,229,242,284,337,384,412,429,459,443,464,497,487,479,
Ecuador,Current Health Expenditure (CHE),in million current US$,610,918,"1,277","1,765","2,037","2,322","2,669","2,724","3,321","3,563","4,254","5,135","5,946","6,470","6,840","7,438","7,275","7,748","8,460","8,452","8,417",
Ecuador,Gross Domestic Product (GDP) per Capita in US$,,"1,451","1,905","2,184","2,438","2,704","3,014","3,341","3,579","4,260","4,241","4,640","5,203","5,678","6,050","6,375","6,131","6,079","6,246","6,321","6,233","5,645",
Ecuador,Population (in thousands),,"12,627","12,846","13,071","13,301","13,535","13,770","14,009","14,252","14,497","14,743","14,990","15,238","15,484","15,723","15,958","16,196","16,440","16,697","17,016","17,344","17,589",
El Salvador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,8,8,8,9,9,8,8,9,9,9,9,9,9,9,9,8,8,9,10,
El Salvador,Current Health Expenditure (CHE) per Capita in US$,,155,162,166,171,185,224,231,239,252,255,269,293,299,322,313,329,337,336,345,364,386,
El Salvador,Current Health Expenditure (CHE),in million current US$,924,969,999,"1,029","1,116","1,352","1,391","1,442","1,528","1,556","1,643","1,800","1,841","1,991","1,943","2,053","2,108","2,104","2,166","2,287","2,427",
El Salvador,Gross Domestic Product (GDP) per Capita in US$,,"1,978","2,051","2,107","2,198","2,274","2,434","2,651","2,815","2,964","2,890","3,017","3,305","3,471","3,555","3,638","3,761","3,870","3,986","4,146","4,283","3,915",
El Salvador,Population (in thousands),,"5,958","5,988","6,011","6,027","6,036","6,038","6,034","6,044","6,068","6,091","6,114","6,137","6,161","6,186","6,210","6,231","6,251","6,267","6,276","6,280","6,293",
Grenada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,5,5,5,5,5,5,5,5,6,6,6,5,5,4,5,5,5,6,
Grenada,Current Health Expenditure (CHE) per Capita in US$,,259,271,308,287,294,325,322,356,396,370,366,393,402,405,369,389,393,433,439,488,491,
Grenada,Current Health Expenditure (CHE),in million current US$,28,29,33,31,32,36,36,40,44,42,42,45,47,47,44,46,47,52,53,60,61,
Grenada,Gross Domestic Product (GDP) per Capita in US$,,"4,840","4,821","4,993","5,436","5,472","6,309","6,294","6,789","7,343","6,809","6,762","6,775","6,902","7,205","7,726","8,380","8,848","9,308","9,576","9,887","8,437",
Grenada,Population (in thousands),,107,108,108,109,110,110,111,112,112,113,114,115,116,117,118,119,120,121,122,123,124,
Guatemala,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Guatemala,Current Health Expenditure (CHE) per Capita in US$,,83,100,107,113,122,132,149,158,175,169,175,191,200,198,217,233,246,265,266,279,289,
